address,mean_profile_views,lon,lat
"Bendorf, DE",142,7.571062799999999,50.4267625
"Benney, FR",920,6.219954,48.512621
"Benningen am Neckar, DE",3517,9.239925699999999,48.94329760000001
"Bensheim, DE",0,8.618729600000002,49.6861354
"Bergamo, IT",440.5,9.881997799999999,45.8578304
"Bergheim, DE",1621.5,6.6555022,50.9451945
"Bergisch Gladbach, DE",26118.5,7.1229789,50.98964789999999
"Berikon, CH",7346.5,8.37021,47.352
"Berlin, DE",5861,13.404954,52.52000659999999
"Berlinchen, DE",92,174.7618307,-36.8464453
"Bern, CH",4706.32231404959,7.4474468,46.9479739
"Berna, CH",9491.25,7.4474468,46.9479739
"Berne (Schweiz), CH",4232,7.4474468,46.9479739
"Berne, CH",1494.6666666666665,7.4474468,46.9479739
"Bernex, CH",3136,6.0764849,46.1771419
"Beromünster, CH",1704,8.1916446,47.2064459
"Besançon, FR",2413.9499999999994,6.024053899999999,47.237829
"Besnate, IT",5527,8.7650437,45.6983694
"Betzdorf, DE",1102,7.872672100000001,50.7870176
"Bex, CH",405,7.014266399999999,46.24998470000001
"Bexbach, DE",640.5,7.255374499999999,49.35602249999999
"Biberach an der Riß, DE",6862,9.7901525,48.0951473
"Biberach, DE",63,9.7901525,48.0951473
"Biberist, CH",291,7.5577799,47.1818339
"Bibertal, DE",1184,NA,NA
"Biebesheim am Rhein, DE",4004,8.4743923,49.7792822
"Biel, CH",3176.894736842105,7.2467909,47.1367785
"Biel/Bienne, CH",312,7.2467909,47.1367785
"Bienne, CH",4497.25,7.2467909,47.1367785
"Bietigheim-Bissingen, DE",1535.3333333333333,9.1305037,48.9471605
"Bingen am Rhein, DE",2048,7.904596000000001,49.9667396
"Binningen, CH",3335.5,7.570987799999998,47.53786969999999
"Binzgen, DE",1135,8.0480146,47.5713405
"Birmensdorf, CH",14267,8.43714,47.35367
"Birrwil, CH",6912,8.1982023,47.2887342
"Bitburg, DE",2399,6.529860299999999,49.9664145
"Blaustein, DE",2401.5,NA,NA
"Bludenz, AT",80,9.808209999999999,47.159910000000004
"Blumberg, DE",678,NA,NA
"Blénod-lès-Toul, FR",152,5.832266,48.598639
"Bolligen, CH",3217,7.497145799999998,46.97562070000001
"Bollschweil, DE",827,7.779054299999999,47.921763
"Bollwiller, FR",5000,7.262282,47.860228
"Bonaduz, CH",44,9.400014299999999,46.8117055
"Bonn, DE",2513.1578947368416,7.0982068,50.73743
"Bonndorf im Schwarzwald, DE",110,8.3372044,47.8164048
"Bonneville, FR",1892,6.409053,46.0780249
"Bonstetten, CH",590,8.4680573,47.31516
"Borgomanero, IT",2392,8.4624538,45.69894410000001
"Bornheim, DE",7225,6.9821412,50.759586
"Boswil, CH",2307,8.3128941,47.3008078
"Bottmingen, CH",2934,7.5723451,47.5233885
"Boudry, CH",1631,6.8478409,46.9542921
"Bourg-en-Bresse, FR",731,5.2255007000000004,46.20516749999999
"Bourges, FR",563,2.398782,47.081012
"Bouy-Luxembourg, FR",51,4.257381,48.378322
"Brauweiler (Rheinland-Pfalz), DE",34272,7.4986105,49.82419050000001
"Bregenz, AT",8094.75,9.74231,47.50075
"Breisach am Rhein, DE",643.5,7.5836067,48.0348382
"Bremen, DE",1476,8.8016937,53.07929619999999
"Bremgarten bei Bern, CH",31435,7.437264300000001,46.9756803
"Bremgarten, CH",15167.5,8.3397905,47.34917739999999
"Brensbach, DE",1073,8.8807075,49.7730971
"Brenzone, IT",0,10.7675388,45.7084285
"Bressey-sur-Tille, FR",1373,5.183651999999999,47.305967
"Breuberg (Hessen), DE",991,9.02339,49.8166161
"Briançon, FR",1611,6.643179,44.899416
"Brig, CH",4335,7.987820800000001,46.3158992
"Brignais, FR",4166.5,4.7525639,45.674944000000004
"Brisbane City, AU",85,153.0260341,-27.4704528
"Brislach, CH",2895,7.5427693,47.41885000000001
"Brittnau, CH",12723,7.9469694,47.2597136
"Bruchmühlen, DE",4803,8.4618697,52.20590499999999
"Bruchsal, DE",2496,8.584410799999999,49.1249712
"Brugg, CH",3637,8.2109103,47.48673549999999
"Brunnen, CH",2318.6666666666665,8.6065,46.99546
"Brusasco, IT",5402,8.0599495,45.15615700000001
"Bruxelles, BE",2975,4.3571696,50.8476424
"Brügg, CH",2393,8.2109103,47.48673549999999
"Brühl, DE",2521.6,6.8987865,50.8267554
"Brüttisellen, CH",3642,8.631239599999999,47.418886
"Buchs (ZH), CH",94,8.441022199999999,47.4584851
"Buchs, CH",5727.5,9.4708594,47.1655403
"Buggingen, DE",7522,7.6374895,47.8481234
"Buhl, FR",514,-114.7594946,42.5990714
"Bulle, CH",1088.8181818181818,NA,NA
"Bully, FR",478,NA,NA
"Burgdorf, CH",7566,7.627224300000001,47.0559357
"Bussigny, CH",2467.5,6.558615,46.5517429
"Bussigny-près-Lausanne, CH",1099,6.558615,46.5517429
"Bussnang, CH",19444,9.0830063,47.5574575
"Butzbach, DE",669,8.6688418,50.43503579999999
"Bâle, CH",9275.333333333332,7.5885761,47.5595986
"Bétheny, FR",65,4.064101000000001,49.28543699999999
"Böblingen, DE",678.5,9.0073513,48.6845486
"Bülach, CH",5288.333333333333,8.5419603,47.5160671
"Bürstadt, DE",6156,8.4617953,49.6441767
"Büsserach, CH",19909,7.539992199999999,47.391439
"Büttelborn, DE",1,8.5132019,49.9002218
"Calolziocorte, IT",1776,9.431899,45.8003717
"Calw, DE",14329,8.7425205,48.7126752
"Cannes, FR",299,7.017369,43.552847
"Carmagnola, IT",2630,7.717439799999999,44.8458882
"Carnago, IT",1856,8.841248199999999,45.7225464
"Carouge (GE), CH",3706,6.1378539,46.1829674
"Castellamonte, IT",879,7.7119076,45.3829469
"Castelletto sopra Ticino, IT",2575,8.626339699999999,45.706711
"Castrop-Rauxel, DE",6496,7.3150145,51.5632625
"Cavaglio D'agogna, IT",777,8.4832197,45.610255
"Cercier, FR",180,6.050038,46.026487
"Cernier, CH",427.5,6.900677399999999,47.0589492
"Cessy, FR",873,6.069864,46.317077
"Chagny, FR",399,4.753217999999999,46.910567
"Chalon-sur-Saône, FR",4465.166666666666,4.853947,46.780764
"Cham, CH",18567,8.4592089,47.181225
"Chambery, PH",538,5.917781,45.564601
"Chambéry, FR",3986.333333333333,5.917781,45.564601
"Chamesol, FR",74,6.834849999999999,47.34744999999999
"Chamonix-Mont-Blanc, FR",130,6.869433,45.923697
"Champagnole, FR",691,5.905724999999999,46.746091
"Champfromier, FR",14,5.816733,46.193896
"Charenton-le-Pont, FR",2579,2.4162805,48.8193107
"Charleroi, BE",128.5,4.44601,50.4096349
"Charleville-Mézières, FR",1042,4.726096,49.76208500000001
"Charnay-lès-Mâcon, FR",5200,4.8011956,46.3094444
"Charrat, CH",379,7.13284,46.12287
"Chassieu, FR",2038,4.971917899999999,45.743527
"Chaumont, FR",6636,5.1392559,48.113748
"Chavannes-des-Bois, CH",1433,6.133292600000001,46.3158782
"Chavannes-près-Renens, CH",1170.3333333333333,6.574969599999999,46.5316376
"Chavornay, CH",2705.666666666667,6.5707689,46.7088129
"Chazelles-sur-Lyon, FR",1497,4.39039,45.637154
"Chimilin, FR",573,5.600283999999999,45.57679100000001
"Chur, CH",19399,9.5319859,46.8507835
"Châlons-en-Champagne, FR",1,4.363073,48.956682
"Châteauneuf-le-Rouge, FR",3,5.5664541,43.4900809
"Châteaurenard, FR",10366,4.855684999999999,43.8820059
"Châteauroux, FR",5780,1.686779,46.811434
"Châteauroux-les-Alpes, FR",221,6.521250999999999,44.613468
"Châtel-Guyon, FR",12413,3.0639759,45.918736
"Châtel-Saint-Denis, CH",768.5,6.901089499999999,46.5269159
"Châtel-SaintDenis, CH",3088,6.901089499999999,46.5269159
"Châtelaine, CH",2412,6.1099342,46.2116722
"Chézard-Saint-Martin, CH",3050,6.9175754,47.0624261
"Ciriè, IT",55,7.6014933,45.2358319
"Clairvaux-les-Lacs, FR",303,5.751053,46.57623299999999
"Claix, FR",3328,5.672924999999999,45.1199439
"Clermont-Ferrand (Auvergne), FR",1646,3.087025,45.77722199999999
"Clermont-Ferrand, FR",875,3.087025,45.77722199999999
"Cluses, FR",843.6,6.580582,46.06039
"Cochem, DE",9556,7.1701755,50.1474123
"Cointrin, CH",789,6.109088799999999,46.2369794
"Collombey, CH",1114,6.9459483,46.2710282
"Collonges-sous-Salève, FR",1502,6.144851999999999,46.141043
"Colmar, FR",1515.3333333333335,7.358511999999999,48.0793589
"Colmars, FR",68,6.627111999999999,44.182011
"Colombier (NE), CH",1213,6.8589727,46.9668714
"Como, IT",1242,NA,NA
"Confignon, CH",1289,6.0835592,46.1740305
"Conliège, FR",12,5.599140999999999,46.6547089
"Connantray-Vaurefroy, FR",17,4.061879,48.747346
"Corbonod, FR",8189,5.821745,45.967633
"Corcelles-Cormondrèche, CH",567,6.8723478,46.98504
"Corcelles-près-Payerne, CH",1148,6.9622657,46.8309425
"Cormatin, FR",3930,4.68766,46.542723
"Corminboeuf, CH",3109,7.1058977,46.8111587
"Cornaredo, IT",3899,9.023928399999999,45.5015276
"Corseaux, CH",11831,6.8289971,46.4702528
"Corsier-sur-Vevey, CH",6476,6.8482854,46.4725243
"Cortaillod, CH",342.5,6.8467863,46.9431271
"Cossato, IT",3473,8.175544,45.5668371
"Coulommiers, FR",716,3.083497,48.813071
"Cournillens, CH",383,7.100008,46.85000400000001
